experiment,variant,instance,seed,time_s,value
late_ablation,late_norestart,LK_1000_02,2,0.930,5136
late_ablation,late_norestart,LK_1000_02,2,1.360,5147
late_ablation,late_norestart,LK_1000_02,2,1.710,5151
late_ablation,late_norestart,LK_1000_02,2,2.080,5154
late_ablation,late_norestart,LK_1000_02,2,2.440,5158
late_ablation,late_norestart,LK_1000_02,2,2.810,5160
late_ablation,late_norestart,LK_1000_02,2,5.000,5163
late_ablation,late_norestart,LK_1000_02,2,5.360,5165
late_ablation,late_norestart,LK_1000_02,3,0.630,4890
late_ablation,late_norestart,LK_1000_02,3,1.070,5111
late_ablation,late_norestart,LK_1000_02,3,1.510,5138
late_ablation,late_norestart,LK_1000_02,3,1.860,5155
late_ablation,late_norestart,LK_1000_02,3,2.590,5158
late_ablation,late_norestart,LK_1000_02,3,3.320,5161
late_ablation,late_norestart,LK_1000_02,3,3.680,5165
late_ablation,late_norestart,LK_1000_02,3,17.880,5166
late_ablation,late_norestart,LK_1000_02,3,18.250,5167
late_ablation,late_norestart,LK_1000_02,4,0.520,4899
late_ablation,late_norestart,LK_1000_02,4,0.950,5109
late_ablation,late_norestart,LK_1000_02,4,1.380,5139
late_ablation,late_norestart,LK_1000_02,4,1.740,5159
late_ablation,late_norestart,LK_1000_02,4,2.110,5161
late_ablation,late_norestart,LK_1000_02,4,3.200,5162
late_ablation,late_norestart,LK_1000_02,5,0.460,4893
late_ablation,late_norestart,LK_1000_02,5,0.900,5130
late_ablation,late_norestart,LK_1000_02,5,1.340,5141
late_ablation,late_norestart,LK_1000_02,5,1.690,5150
late_ablation,late_norestart,LK_1000_02,5,2.060,5159
late_ablation,late_norestart,LK_1000_02,5,2.420,5162
late_ablation,late_norestart,LK_1000_04,1,0.480,5130
late_ablation,late_norestart,LK_1000_04,1,0.920,5405
late_ablation,late_norestart,LK_1000_04,1,1.350,5424
late_ablation,late_norestart,LK_1000_04,1,1.690,5430
late_ablation,late_norestart,LK_1000_04,1,2.040,5431
late_ablation,late_norestart,LK_1000_04,1,2.390,5432
late_ablation,late_norestart,LK_1000_04,2,0.500,5138
late_ablation,late_norestart,LK_1000_04,2,0.940,5409
late_ablation,late_norestart,LK_1000_04,2,1.350,5425
late_ablation,late_norestart,LK_1000_04,2,1.700,5431
late_ablation,late_norestart,LK_1000_04,2,104.520,5432
late_ablation,late_norestart,LK_1000_04,3,0.470,5125
late_ablation,late_norestart,LK_1000_04,3,0.900,5409
late_ablation,late_norestart,LK_1000_04,3,1.330,5427
late_ablation,late_norestart,LK_1000_04,3,1.670,5429
late_ablation,late_norestart,LK_1000_04,3,2.020,5430
late_ablation,late_norestart,LK_1000_04,3,2.370,5431
late_ablation,late_norestart,LK_1000_04,3,19.510,5432
late_ablation,late_norestart,LK_1000_04,4,0.560,5122
late_ablation,late_norestart,LK_1000_04,4,0.990,5409
late_ablation,late_norestart,LK_1000_04,4,1.410,5429
late_ablation,late_norestart,LK_1000_04,4,1.760,5430
late_ablation,late_norestart,LK_1000_04,4,2.110,5431
late_ablation,late_norestart,LK_1000_04,4,33.300,5432
