experiment,variant,instance,seed,value,weight,capacity,time_to_best_s,wall_s,kernel_s,iterations,walkers,budget_s,config_hash
design_study,v8_random,MF_1000_06,1,4599,3000,3000,5.850,120.629,119.224,574000,1024,120,5d94ae33e8
design_study,v8_bigpert,LK_800_08,1,4158,2955,4000,11.950,120.570,118.876,712000,1024,120,9834efc880
design_study,v8_bigpert,LK_800_10,1,4285,3107,4000,58.160,120.688,119.017,714000,1024,120,9834efc880
design_study,v8_bigpert,LK_1000_04,1,5431,4001,5000,4.470,120.546,118.834,682000,1024,120,9834efc880
design_study,v8_bigpert,LK_1000_07,1,5270,3802,5000,66.540,120.601,118.941,660000,1024,120,9834efc880
design_study,v8_bigpert,MF_800_09,1,3604,2397,2400,4.410,120.526,119.014,616000,1024,120,9834efc880
design_study,v8_bigpert,MF_1000_06,1,4599,2999,3000,5.650,120.614,119.104,572000,1024,120,9834efc880
design_study,v9_fscale_wide,LK_800_08,1,4158,2998,4000,18.800,120.684,119.030,718000,1024,120,4413e6168d
design_study,v9_fscale_wide,LK_800_10,1,4285,3154,4000,94.380,120.645,118.957,722000,1024,120,4413e6168d
design_study,v9_fscale_wide,LK_1000_04,1,5431,3955,5000,6.240,120.461,118.763,690000,1024,120,4413e6168d
design_study,v9_fscale_wide,LK_1000_07,1,5268,3854,5000,55.980,120.527,118.872,660000,1024,120,4413e6168d
design_study,v9_fscale_wide,MF_800_09,1,3604,2399,2400,12.530,120.566,119.073,620000,1024,120,4413e6168d
design_study,v9_fscale_wide,MF_1000_06,1,4599,2999,3000,8.570,120.641,119.122,572000,1024,120,4413e6168d
